v0101,v0102,v0103,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2
Ja,Ja,Nee,Nee,Twee_ouders,null,null,null,null,null,null,null,null,null,null,45i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_gescheiden,null,null,null,null,null,null,null,null,null,45ii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Ja,null,null,null,null,null,null,null,null,null,49i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,null,null,null,null,null,null,null,null,null,null,null,null,4i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,null,null,null,null,null,null,4ii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,null,null,null,null,null,null,null,null,null,53i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,null,null,null,null,null,null,null,null,53ii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Voor,null,null,null,null,null,null,null,53iii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Na,null,null,null,Ja_ouder1,null,null,null,53n1,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Na,null,null,null,Ja_ouder2,null,null,null,53n2,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Na,null,null,null,Ja_beiden,null,null,null,53nb,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Na,null,null,null,Nee,null,null,null,53ng,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Na,null,null,null,null,null,null,null,53ni,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Na,null,null,null,Nee,null,null,null,54n,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Voor,null,null,null,null,Nee_ouder1,null,null,54o1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Voor,null,null,null,null,Nee_ouder2,null,null,54o2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Ja,null,null,null,null,null,null,null,null,55i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,12,null,null,null,null,7i,N,Nee,Nee,Nee,Nee
